wkt_geom;ID;XCOORD;YCOORD
POINT(-4.5653470585111382 63.0222089229273621);81;-4.565347;63.022209
POINT(-2.62041618521374708 58.57083215555216071);82;-2.620416;58.570832
POINT(20.29440868197455572 60.20933882545653404);83;20.294409;60.209339
POINT(-1.09650488166953508 58.45377352206662636);84;-1.096505;58.453774
POINT(9.77287161723662479 57.30726180296812799);85;9.772872;57.307262
POINT(3.29830487088277557 59.52882191216958319);86;3.298305;59.528822
POINT(2.8345836291374642 52.67655552722001744);87;2.834584;52.676556
POINT(-1.26449576645505823 64.30011111439246463);88;-1.264496;64.300111
POINT(4.62075014628393355 56.56184835659207977);89;4.62075;56.561848
POINT(0.35785083857195588 64.14955122197349624);90;0.357851;64.149551
POINT(2.66349283147221438 58.68483934126982859);91;2.663493;58.684839
POINT(7.53884862257756794 54.08808427413457309);92;7.538849;54.088084
POINT(-2.718419569508014 59.41117172313468586);93;-2.71842;59.411172
POINT(-3.14320935152975256 60.10297826246978303);94;-3.143209;60.102978
POINT(0.9324166112773753 57.37531669429925785);95;0.932417;57.375317
POINT(7.28627604937972961 55.07635308515155259);96;7.286276;55.076353
POINT(9.32344083461739892 57.20736331902525507);97;9.323441;57.207363
POINT(-0.23868589228314718 58.65118295626983524);98;-0.238686;58.651183
POINT(-5.12656416543003779 61.63077098151229904);99;-5.126564;61.630771
POINT(3.48518713256971679 63.1279003083268293);100;3.485187;63.1279
POINT(18.32683621107607053 56.04215895392083269);101;18.326836;56.042159
POINT(-0.81536835793926787 59.9367326802769611);102;-0.815368;59.936733
POINT(1.33837904487889148 63.7040654058256095);103;1.338379;63.704065
POINT(-1.99312593499963153 60.0986306764544338);104;-1.993126;60.098631
POINT(12.69543432649488679 54.74505595664025037);105;12.695434;54.745056
POINT(12.44947060945058581 54.67365169227664978);106;12.449471;54.673652
POINT(-3.12795060233178113 62.68668016296088297);107;-3.127951;62.68668
POINT(-0.00166142354106746 65.57053834064211628);108;-0.001661;65.570538
POINT(20.08122152097390511 57.1253959668029907);109;20.081222;57.125396
POINT(-1.54983298241263245 57.69140200853618694);110;-1.549833;57.691402
POINT(6.89964256692023348 55.73090336549268642);111;6.899643;55.730903
POINT(3.31774676723434681 55.9956184891408455);112;3.317747;55.995618
POINT(-0.82927526371914073 56.56462447423825068);113;-0.829275;56.564624
POINT(16.34393215321011184 55.62955181054872611);114;16.343932;55.629552
POINT(17.94280028486655354 55.74674406354618128);115;17.9428;55.746744
POINT(2.07374385101701897 55.74586254034019817);116;2.073744;55.745863
POINT(21.56696397426854972 58.60496480031800104);117;21.566964;58.604965
POINT(7.75845377248869283 55.30777257162957028);118;7.758454;55.307773
POINT(19.04593848610274875 58.63284687489743874);119;19.045938;58.632847
POINT(15.34917611709881413 54.57505632546681085);120;15.349176;54.575056
POINT(-1.8862870917506922 65.87263821031388034);121;-1.886287;65.872638
POINT(-3.21400074790828549 64.28618890009852294);122;-3.214001;64.286189
POINT(0.98286782650484739 64.53044393181991722);123;0.982868;64.530444
POINT(10.33725801208701967 57.72423206129722928);124;10.337258;57.724232
POINT(16.87661027094774369 55.61274085025596747);125;16.87661;55.612741
POINT(20.38867872885661114 60.25817753723416104);126;20.388679;60.258178
POINT(-0.3562855351282499 61.22572874063543225);127;-0.356286;61.225729
POINT(20.50529485550681841 57.1783800935038613);128;20.505295;57.17838
POINT(1.29185974536599257 60.96167232509722567);129;1.29186;60.961672
POINT(7.94513237953367124 57.24063405920171022);130;7.945132;57.240634
POINT(16.66452229370048244 55.03605832388949892);131;16.664522;55.036058
POINT(3.71293239694831279 59.21258932042438516);132;3.712932;59.212589
POINT(3.83357389961362038 59.6618874141944886);133;3.833574;59.661887
POINT(-0.6981913552808523 60.256510822739763);134;-0.698191;60.256511
POINT(-0.10073569014365535 61.58271912393595215);135;-0.100736;61.582719
POINT(-2.80321337241778146 63.04437633487793136);136;-2.803213;63.044376
POINT(8.59678033754710569 57.81945963971053004);137;8.59678;57.81946
POINT(3.79617358333493016 55.70753845309552332);138;3.796174;55.707538
POINT(0.11468998550905685 58.70583743813588029);139;0.11469;58.705837
POINT(1.21363638327310763 54.97619836764490486);140;1.213636;54.976198
POINT(9.160365331963364 54.14882744907373535);141;9.160365;54.148827
POINT(-3.28051049263215289 63.55821368443845643);142;-3.28051;63.558214
POINT(-4.16860779447015428 60.93239385020775956);143;-4.168608;60.932394
POINT(2.86294959120230175 55.25065838627783421);144;2.86295;55.250658
POINT(3.95084908997863593 55.52136711352707721);145;3.950849;55.521367
POINT(20.55130413159179525 56.81383955188879042);146;20.551304;56.81384
POINT(3.21384341996738598 59.36732643301809276);147;3.213843;59.367326
POINT(20.35236999289326576 56.94264609955338585);148;20.35237;56.942646
POINT(-2.05578149210828354 59.47921748307754797);149;-2.055781;59.479217
POINT(20.3286522844666635 60.31044299613259341);150;20.328652;60.310443
POINT(1.64283708048519461 56.04827463600013004);151;1.642837;56.048275
POINT(-1.11561776863552886 56.47393912416437445);152;-1.115618;56.473939
POINT(-0.84462333634451348 56.87380654466333141);153;-0.844623;56.873807
POINT(3.13949896491515723 59.07008590324171138);154;3.139499;59.070086
POINT(-3.22723929646866914 64.25965135568571895);155;-3.227239;64.259651
POINT(7.58090042213664184 57.71473135131825671);156;7.5809;57.714731
POINT(-2.56525224171471233 64.74974448084040546);157;-2.565252;64.749744
POINT(20.87572120146783661 59.78376179540848767);158;20.875721;59.783762
POINT(-0.4005374653999052 56.08698838199656933);159;-0.400537;56.086988
POINT(2.75271397107694504 60.09481935603222524);160;2.752714;60.094819
POINT(-0.92854531313922628 58.71036920716566954);161;-0.928545;58.710369
POINT(4.45210780413190399 53.77191777380686233);162;4.452108;53.771918
POINT(-1.77977463473873954 61.49154477831686449);163;-1.779775;61.491545
POINT(0.30199221365082174 58.59453898987130316);164;0.301992;58.594539
POINT(3.14191364696146813 59.56078410581687876);165;3.141914;59.560784
POINT(1.9369353209520046 63.45297498668649894);166;1.936935;63.452975
POINT(3.00798252816663769 59.28020738612165985);167;3.007983;59.280207
POINT(1.60024808674728458 63.40102383631358407);168;1.600248;63.401024
POINT(-0.63823630998419656 65.43381361744363289);169;-0.638236;65.433814
POINT(4.10133956335633343 55.04636017334355103);170;4.10134;55.04636
POINT(2.8428965070639638 52.61734813011075573);171;2.842897;52.617348
POINT(14.98503463414321857 55.21293052694770864);172;14.985035;55.212931
POINT(0.05097079889025036 65.96561773511723459);173;0.050971;65.965618
POINT(21.6981162081563177 58.65805314482523158);174;21.698116;58.658053
POINT(1.91802918596799099 56.2477159163775724);175;1.918029;56.247716
POINT(-0.03194647322492195 55.7024816871817805);176;-0.031946;55.702482
POINT(11.35581767454746327 55.04376866834130766);177;11.355818;55.043769
POINT(-4.480324076591649 62.73519033710719839);178;-4.480324;62.73519
POINT(14.13235642618869292 54.69107857847200194);179;14.132356;54.691079
POINT(1.31739311423535543 56.49065997439366527);180;1.317393;56.49066
POINT(4.78218091330341188 54.78489310765240106);181;4.782181;54.784893
POINT(-2.94612089467929383 64.73580076033562136);182;-2.946121;64.735801
POINT(17.27607718504064138 55.70220124925982219);183;17.276077;55.702201
POINT(5.32577465240994208 57.12226473073468469);184;5.325775;57.122265
POINT(11.31006403000970906 56.13308580445099238);185;11.310064;56.133086
POINT(5.24604345661254534 54.38466508081274497);186;5.246043;54.384665
POINT(-3.30912608499816985 60.26181157504818486);187;-3.309126;60.261812
POINT(20.04109441690922466 56.29259515903633826);188;20.041094;56.292595
POINT(-0.49254007069324857 64.03293429405707116);189;-0.49254;64.032934
POINT(-3.36085335953172182 64.13793379521447946);190;-3.360853;64.137934
POINT(9.76570421493823027 56.28934920598797476);191;9.765704;56.289349
POINT(5.47845821297197944 57.17674267699105428);192;5.478458;57.176743
POINT(1.58012817033565778 59.09429523405949425);193;1.580128;59.094295
POINT(-2.90908057337276338 65.04884850205279179);194;-2.909081;65.048849
POINT(3.6851224826517317 62.36578871306818428);195;3.685122;62.365789
POINT(11.95718766602740857 55.46358843716888742);196;11.957188;55.463588
POINT(9.9951817390499631 55.67757933324982389);197;9.995182;55.677579
POINT(-3.89608106695627443 65.14881887546916062);198;-3.896081;65.148819
POINT(-1.2466154094157238 63.37757911567035052);199;-1.246615;63.377579
POINT(9.31571294428153251 54.77228861311304087);200;9.315713;54.772289
POINT(2.39213774813842406 52.51278061223339932);201;2.392138;52.512781
POINT(6.69792864558798584 53.76530459411187479);202;6.697929;53.765305
POINT(-2.46222487982382932 58.56147192156555548);203;-2.462225;58.561472
POINT(1.18284352521111558 55.18760288360379462);204;1.182844;55.187603
POINT(-0.76247194649820393 61.16460324750849509);205;-0.762472;61.164603
POINT(-0.72127910447309951 56.86040232233902714);206;-0.721279;56.860402
POINT(-0.60045648106114236 57.58891673088363206);207;-0.600456;57.588917
POINT(0.68517816671811982 61.36736465861361722);208;0.685178;61.367365
POINT(0.41919397317434193 61.34714354661897318);209;0.419194;61.347144
POINT(1.85297943406793841 62.80993790474428806);210;1.852979;62.809938
POINT(11.28250016024854574 56.26953944878465563);211;11.2825;56.269539
POINT(4.10789127671375631 60.68252334902611977);212;4.107891;60.682523
POINT(0.00294260693393689 60.33746375006996487);213;0.002943;60.337464
POINT(3.50278690471525778 63.33954791585124866);214;3.502787;63.339548
POINT(-2.29860988029706492 58.75618264086599396);215;-2.29861;58.756183
POINT(5.78660263535187447 57.94086265422036774);216;5.786603;57.940863
POINT(-0.83508609892489982 61.08222606419079881);217;-0.835086;61.082226
POINT(1.44186528619993659 60.01674587584879816);218;1.441865;60.016746
POINT(2.23288390879324705 59.57865649097944072);219;2.232884;59.578656
POINT(19.3818425042910718 56.0860379731343599);220;19.381843;56.086038
POINT(1.93234803449669279 53.16502844948183082);221;1.932348;53.165028
POINT(3.20164714367120062 63.84247486043701514);222;3.201647;63.842475
POINT(-3.26945321208948769 64.04467821987179832);223;-3.269453;64.044678
POINT(7.59555283687117822 56.6461186237587242);224;7.595553;56.646119
POINT(2.01181213408910242 61.79133208015448986);225;2.011812;61.791332
POINT(8.25106796625195393 55.28640022110637631);226;8.251068;55.2864
POINT(9.51148163438912597 57.65736618051826667);227;9.511482;57.657366
POINT(1.08718251947876166 57.96378224040791594);228;1.087183;57.963782
POINT(11.43972550537241517 55.99702514778046236);229;11.439726;55.997025
POINT(-3.15757602731366793 65.60103012585925342);230;-3.157576;65.60103
POINT(2.50512705606765795 60.08537852108928234);231;2.505127;60.085379
POINT(3.16132069752625178 54.46956048764771197);232;3.161321;54.46956
POINT(8.24856588116814038 54.59382003379604242);233;8.248566;54.59382
POINT(4.22325621801210893 55.89020139078164107);234;4.223256;55.890201
POINT(4.18414607516549886 60.72616606714554166);235;4.184146;60.726166
POINT(-1.46587374053209052 63.54969963716810355);236;-1.465874;63.5497
POINT(0.37358714995135767 57.14725031700182001);237;0.373587;57.14725
POINT(19.71238495955866199 59.36840952653563619);238;19.712385;59.36841
POINT(3.69249414182736579 59.53807954084901155);239;3.692494;59.53808
POINT(4.02510793800898981 54.97633816670142437);240;4.025108;54.976338
POINT(1.08699569147045594 59.14764177661889732);241;1.086996;59.147642
POINT(11.85799293401914412 54.64163413633014699);242;11.857993;54.641634
POINT(11.43256064540379313 54.71760279758204604);243;11.432561;54.717603
POINT(10.73885773789191056 57.52213950405674581);244;10.738858;57.52214
POINT(0.68555917213051121 64.24598871968035496);245;0.685559;64.245989
POINT(2.18280523912138946 60.02490659076858037);246;2.182805;60.024907
POINT(3.82610688510246533 62.67374445542003514);247;3.826107;62.673744
POINT(3.0074115597057105 61.75243504829926167);248;3.007412;61.752435
POINT(-0.75233007247943817 59.90263511247165695);249;-0.75233;59.902635
POINT(9.16705748752999483 55.35586976180393037);250;9.167057;55.35587
POINT(-1.07942384327426666 59.81013419382382779);251;-1.079424;59.810134
POINT(13.24793494833814478 54.68339191170434077);252;13.247935;54.683392
POINT(-4.07893218326619955 61.98005996910303139);253;-4.078932;61.98006
POINT(4.48248019411851217 53.81978010198875495);254;4.48248;53.81978
POINT(7.46309677920848102 55.7673853903039074);255;7.463097;55.767385
POINT(-2.76421295629012009 60.81554183661900481);256;-2.764213;60.815542
POINT(-1.90997757252957268 59.89723552807403451);257;-1.909978;59.897236
POINT(3.40522231862037117 62.11404350650937545);258;3.405222;62.114044
POINT(3.87367323144267139 53.8019703199744157);259;3.873673;53.80197
POINT(-3.76993983340117289 62.99579539015492458);260;-3.76994;62.995795
POINT(1.84974504211182822 58.85222965703806608);261;1.849745;58.85223
POINT(19.27021048075875598 57.01120932452494117);262;19.27021;57.011209
POINT(0.04328996949243091 55.63739206006854232);263;0.04329;55.637392
POINT(-4.49509915897678525 60.62015221666248976);264;-4.495099;60.620152
POINT(-1.09282209009299525 59.37438322693225246);265;-1.092822;59.374383
POINT(2.93900751527435666 60.70172413858933425);266;2.939008;60.701724
POINT(4.5678417795266224 54.62192167176370106);267;4.567842;54.621922
POINT(-2.02930069480577435 64.08488811642359906);268;-2.029301;64.084888
POINT(1.78087654285276287 57.94418022886034692);269;1.780877;57.94418
POINT(10.2351012000270849 57.19828609352360616);270;10.235101;57.198286
POINT(1.62167153311333401 61.74434183596859782);271;1.621672;61.744342
POINT(-1.56084223124290489 59.56536621340099202);272;-1.560842;59.565366
POINT(1.09832198933092773 59.38860468719651919);273;1.098322;59.388605
POINT(-3.24288106430362433 63.30201352321383013);274;-3.242881;63.302014
POINT(1.02692419646583133 53.61592830920163522);275;1.026924;53.615928
POINT(3.28511580627485955 62.52767657876248109);276;3.285116;62.527677
POINT(1.79116919107658035 62.22250923171114323);277;1.791169;62.222509
POINT(-2.81933464632444775 59.8588098497690666);278;-2.819335;59.85881
POINT(2.40445599282814637 56.11027384505626969);279;2.404456;56.110274
POINT(18.66256046859762563 56.22528360512359313);280;18.66256;56.225284
POINT(-4.7853834250888605 60.97278522399646761);281;-4.785383;60.972785
POINT(7.59608866544173722 54.9311585753391185);282;7.596089;54.931159
POINT(19.87554118765179823 56.25875146447140907);283;19.875541;56.258751
POINT(7.9773989036004469 57.11506459203168617);284;7.977399;57.115065
POINT(1.55139196087483366 58.18225838390443982);285;1.551392;58.182258
POINT(15.16533227069404788 54.9997285897533672);286;15.165332;54.999729
POINT(-2.63029396944814753 61.2285657644495771);287;-2.630294;61.228566
POINT(20.98039338150185884 58.12600764629029015);288;20.980393;58.126008
POINT(7.36895946981836047 54.71769316888193657);289;7.368959;54.717693
POINT(20.28806664420990202 56.90144122162483598);290;20.288067;56.901441
POINT(17.63830706042736907 56.94729401782134914);291;17.638307;56.947294
POINT(-3.16764808182293445 62.68817745896841842);292;-3.167648;62.688177
POINT(16.69977543771583584 54.99137685833613887);293;16.699775;54.991377
POINT(6.03671175328742748 57.72652995604024539);294;6.036712;57.72653
POINT(4.22717122356089625 58.06648277208219611);295;4.227171;58.066483
POINT(8.93583574240484424 55.73027169464846509);296;8.935836;55.730272
POINT(3.92092459101437285 53.57845191129030127);297;3.920925;53.578452
POINT(1.60482753761710661 59.49395993996759557);298;1.604828;59.49396
POINT(3.57267350244654835 54.490858260380719);299;3.572674;54.490858
POINT(-1.46226689011550803 63.22184162665546125);300;-1.462267;63.221842
POINT(19.7066288540436787 57.96424633770379842);301;19.706629;57.964246
POINT(-0.44883787494285787 63.60010175836101354);302;-0.448838;63.600102
POINT(0.36282459423492508 61.83917084641416295);303;0.362825;61.839171
POINT(17.65650983841237931 57.70255775700456269);304;17.65651;57.702558
POINT(2.26099589766475706 61.47787352080987944);305;2.260996;61.477874
POINT(-3.41290013485382193 59.44031628443886461);306;-3.4129;59.440316
POINT(20.31927779959576341 60.19149009571467701);307;20.319278;60.19149
POINT(-2.08115953019914501 60.3241390428462978);308;-2.08116;60.324139
POINT(1.51301136349727638 57.84473132448780319);309;1.513011;57.844731
POINT(3.34188312273184884 52.67151403179650515);310;3.341883;52.671514
POINT(-1.54108232705370707 58.34073127936961356);311;-1.541082;58.340731
POINT(3.18284397745968839 54.61092419083113469);312;3.182844;54.610924
POINT(2.45501917996183749 57.7648062346766622);313;2.455019;57.764806
POINT(5.47822108396363383 55.13451491672461202);314;5.478221;55.134515
POINT(1.89792678110622948 56.51802779106712649);315;1.897927;56.518028
POINT(8.71346959140456789 54.54385237313688606);316;8.71347;54.543852
POINT(18.34448841475649417 58.27354680848367252);317;18.344488;58.273547
POINT(10.95396125572683488 56.89167889682843793);318;10.953961;56.891679
POINT(5.42386166359930044 57.57036604200932572);319;5.423862;57.570366
POINT(16.49392948934510272 54.81896206622260337);320;16.493929;54.818962
POINT(-0.47643689268107181 60.29854522787483262);321;-0.476437;60.298545
POINT(0.69312809968369571 59.911366964230929);322;0.693128;59.911367
POINT(2.05335038918303692 64.40381566048985462);323;2.05335;64.403816
POINT(1.28163594819830617 53.4663946417388587);324;1.281636;53.466395
POINT(5.3674981590931452 56.13078782200824435);325;5.367498;56.130788
POINT(19.4184305066311218 57.36696598792783419);326;19.418431;57.366966
POINT(5.27906036893799069 57.75901218291736683);327;5.27906;57.759012
POINT(9.28790543497304988 57.12324626510094561);328;9.287905;57.123246
POINT(11.00646447486281687 56.1189020292880798);329;11.006464;56.118902
POINT(4.12456271712099998 59.04777855267320064);330;4.124563;59.047779
POINT(1.7844277183938253 56.83216350962853625);331;1.784428;56.832164
POINT(-0.71212803754008291 64.30265821318900521);332;-0.712128;64.302658
POINT(-0.78302249256584222 61.93877060022676773);333;-0.783022;61.938771
POINT(-1.90905746803336562 64.12707235428548813);334;-1.909057;64.127072
POINT(-1.92086011374946919 63.2702526105321823);335;-1.92086;63.270253
POINT(9.93991003471933787 58.28023499777260952);336;9.93991;58.280235
POINT(2.7592605454675887 56.98388008752735345);337;2.759261;56.98388
POINT(-2.43740341349197154 58.72230956892784093);338;-2.437403;58.72231
POINT(19.11837429735008342 56.96143316551794555);339;19.118374;56.961433
POINT(11.10337486269864371 56.47915573830406544);340;11.103375;56.479156
POINT(5.26936802907925639 57.38073824345229212);341;5.269368;57.380738
POINT(-0.05123482808023994 56.44805482190092505);342;-0.051235;56.448055
POINT(0.80826643771189666 62.72882012813492025);343;0.808266;62.72882
POINT(8.59075401672551209 54.50297336076452126);344;8.590754;54.502973
POINT(-1.67513032888235935 59.14613678061886048);345;-1.67513;59.146137
POINT(-4.31838618627980608 61.46230074860785919);346;-4.318386;61.462301
POINT(9.86067637237410288 55.10830959765932846);347;9.860676;55.10831
POINT(-1.14402728092186301 65.2970691677460735);348;-1.144027;65.297069
POINT(6.57955798999414654 57.03505090523713505);349;6.579558;57.035051
POINT(8.68521856351782873 55.28054573332682509);350;8.685219;55.280546
POINT(-1.89335839025276531 61.58094370476973012);351;-1.893358;61.580944
POINT(18.39082773695902517 58.47531236744863747);352;18.390828;58.475312
POINT(-0.24238578336347505 65.64815991945113183);353;-0.242386;65.64816
POINT(1.6867028673233273 55.95375721410903225);354;1.686703;55.953757
POINT(2.00658976076777051 62.93916636503492867);355;2.00659;62.939166
POINT(-4.76885058273124862 62.36728342986776852);356;-4.768851;62.367283
POINT(2.07460965856894575 62.20127515555138586);357;2.07461;62.201275
POINT(14.7773765580304115 55.1735432320657182);358;14.777377;55.173543
POINT(17.67578465402658594 55.50600786080487836);359;17.675785;55.506008
POINT(1.78484551230003596 57.16564618879769455);360;1.784846;57.165646
POINT(9.29473817490710807 57.00997693610140971);361;9.294738;57.009977
POINT(9.03765254674152629 57.18664060566051432);362;9.037653;57.186641
POINT(6.18756599416825992 54.91523935879817486);363;6.187566;54.915239
POINT(2.12356013752126493 57.54890853148019403);364;2.12356;57.548909
POINT(0.10549484348725535 54.85382821826119226);365;0.105495;54.853828
POINT(2.67872711007584385 55.94400209911081845);366;2.678727;55.944002
POINT(4.02348799619665343 53.53490762244920376);367;4.023488;53.534908
POINT(18.23152006486813548 55.78596684272644524);368;18.23152;55.785967
POINT(-4.25416557650469418 65.11146052538276763);369;-4.254166;65.111461
POINT(-3.88923733740394617 63.98835862473832492);370;-3.889237;63.988359
POINT(3.74783844217658491 60.06723895714014105);371;3.747838;60.067239
POINT(-2.2677161614861614 60.65341012747893501);372;-2.267716;60.65341
POINT(3.5789687643166932 54.72820120035436275);373;3.578969;54.728201
POINT(3.020195984465742 62.83472262942466102);374;3.020196;62.834723
POINT(2.54729724625862275 56.09947334682280484);375;2.547297;56.099473
POINT(4.57834863902447786 54.33736888226518147);376;4.578349;54.337369
POINT(7.73862096736577776 55.89116978631446386);377;7.738621;55.89117
POINT(1.07222716553517827 55.3477788138339406);378;1.072227;55.347779
POINT(12.32938810960574472 54.60693775109304227);379;12.329388;54.606938
POINT(17.75567807638243778 56.63613551412873903);380;17.755678;56.636136
POINT(0.80935133509792312 60.28709954784282132);381;0.809351;60.2871
POINT(-3.62588471505559351 60.95760584322511733);382;-3.625885;60.957606
POINT(-2.4186854677098566 63.16232183687626645);383;-2.418685;63.162322
POINT(20.4586706121916535 58.62413070198107334);384;20.458671;58.624131
POINT(8.88425895687429268 57.17899354322477734);385;8.884259;57.178994
POINT(5.57828504826563609 55.28153872356644882);386;5.578285;55.281539
POINT(3.6193641863796806 53.22174160410703792);387;3.619364;53.221742
POINT(-1.47085596221007631 60.28202490585074713);388;-1.470856;60.282025
POINT(6.41978841069218298 57.360180101706149);389;6.419788;57.36018
POINT(6.58983634887197667 54.24931747981812435);390;6.589836;54.249317
POINT(2.44448261168271141 64.09630410237143394);391;2.444483;64.096304
POINT(0.61457558145162494 56.74780068242711195);392;0.614576;56.747801
POINT(5.90468614088358734 56.30773725329510171);393;5.904686;56.307737
POINT(15.61808415495632119 55.52683494775760664);394;15.618084;55.526835
POINT(1.2641447670446988 57.2218310114837081);395;1.264145;57.221831
POINT(10.71565399922674544 55.97409334304569484);396;10.715654;55.974093
POINT(-1.6967815081765063 63.61862334161131827);397;-1.696782;63.618623
POINT(3.5160602494327442 63.09949764799358718);398;3.51606;63.099498
POINT(-2.4016727649680889 59.73403041912838063);399;-2.401673;59.73403
POINT(-2.21389162869759293 61.03229946893021207);400;-2.213892;61.032299
POINT(0.91713094610730472 54.62608650199119609);401;0.917131;54.626087
POINT(4.53310536993375379 55.00267171087948981);402;4.533105;55.002672
POINT(1.51728375411899918 59.95231040905623132);403;1.517284;59.95231
