species,present.data,absence.data,pseudoabsence.data,n.present,n.absent,comment on Taxon
Mytilicola orientalis,Mytilicola orientalis.csv,Mytilicola orientalis.csv,pseudoabsences.marine.excludeboxZB.csv,40,0,names match
Armadillidium nasatum,Armadillidium nasatum.csv,Armadillidium nasatum.csv,pseudoabsences.marine.excludeboxZB.csv,189,0,names match
Bugula neritina,Bugula neritina.csv,Bugula neritina.csv,pseudoabsences.marine.excludeboxZB.csv,264,421,names match
Asparagopsis taxiformis,Asparagopsis taxiformis.csv,Asparagopsis taxiformis.csv,pseudoabsences.marine.excludeboxPB.csv,1148,368,names match
Dasysiphonia japonica,Dasysiphonia japonica.csv,Dasysiphonia japonica.csv,pseudoabsences.marine.excludeboxPB.csv,173,370,names match
Acartia tonsa,Acartia tonsa.csv,Acartia tonsa.csv,pseudoabsences.marine.excludeboxZP.csv,794,0,names match
Neogobius melanostomus,Neogobius melanostomus.csv,Neogobius melanostomus.csv,pseudoabsences.marine.excludeboxZB.csv,1901,56,names match
Cercopagis pengoi,Cercopagis pengoi.csv,Cercopagis pengoi.csv,pseudoabsences.marine.excludeboxZP.csv,117,0,names match
Melanothamnus harveyi,Melanothamnus harveyi.csv,Melanothamnus harveyi.csv,pseudoabsences.marine.excludeboxPB.csv,79,0,names match
Herdmania momus,Herdmania momus.csv,Herdmania momus.csv,pseudoabsences.marine.excludeboxZB.csv,59,0,names match
Ostreopsis ovata,Ostreopsis ovata.csv,Ostreopsis ovata.csv,pseudoabsences.marine.excludeboxZP.csv,32,10,names match
Amphibalanus amphitrite,Amphibalanus amphitrite.csv,Amphibalanus amphitrite.csv,pseudoabsences.marine.excludeboxZB.csv,496,12,names match
Botrylloides violaceus,Botrylloides violaceus.csv,Botrylloides violaceus.csv,pseudoabsences.marine.excludeboxZB.csv,708,380,names match
Apionsoma misakianum,Apionsoma misakianum.csv,Apionsoma misakianum.csv,pseudoabsences.marine.excludeboxZB.csv,5,0,Apionsoma (Apionsoma) misakianum
Caprella mutica,Caprella mutica.csv,Caprella mutica.csv,pseudoabsences.marine.excludeboxZB.csv,495,332,names match
Pleurosira laevis,Pleurosira laevis.csv,Pleurosira laevis.csv,pseudoabsences.marine.excludeboxPP.csv,8,0,names match
Marenzelleria viridis,Marenzelleria viridis.csv,Marenzelleria viridis.csv,pseudoabsences.marine.excludeboxZB.csv,9,0,names match
Fenestrulina delicia,Fenestrulina delicia.csv,Fenestrulina delicia.csv,pseudoabsences.marine.excludeboxZB.csv,10,0,names match
Gonionemus vertens,Gonionemus vertens.csv,Gonionemus vertens.csv,pseudoabsences.marine.excludeboxZP.csv,8,0,names match
Arcuatula senhousia,Arcuatula senhousia.csv,Arcuatula senhousia.csv,pseudoabsences.marine.excludeboxZB.csv,356,120,names match
Balanus trigonus,Balanus trigonus.csv,Balanus trigonus.csv,pseudoabsences.marine.excludeboxZB.csv,91,6,names match
Smittoidea prolifica,Smittoidea prolifica.csv,Smittoidea prolifica.csv,pseudoabsences.marine.excludeboxZB.csv,5,0,names match
Rangia cuneata,Rangia cuneata.csv,Rangia cuneata.csv,pseudoabsences.marine.excludeboxZB.csv,238,1,names match
Perophora japonica,Perophora japonica.csv,Perophora japonica.csv,pseudoabsences.marine.excludeboxZB.csv,53,129,names match
Corambe obscura,Corambe obscura.csv,Corambe obscura.csv,pseudoabsences.marine.excludeboxZB.csv,16,0,names match
Juxtacribrilina mutabilis,Juxtacribrilina mutabilis.csv,Juxtacribrilina mutabilis.csv,pseudoabsences.marine.excludeboxZB.csv,41,0,names match
Schizoporella japonica,Schizoporella japonica.csv,Schizoporella japonica.csv,pseudoabsences.marine.excludeboxZB.csv,70,12,names match
Streblospio benedicti,Streblospio benedicti.csv,Streblospio benedicti.csv,pseudoabsences.marine.excludeboxZB.csv,383,0,names match
Haminella solitaria,Haminella solitaria.csv,Haminella solitaria.csv,pseudoabsences.marine.excludeboxZB.csv,5,0,names match
Sinelobus vanhaareni,Sinelobus vanhaareni.csv,Sinelobus vanhaareni.csv,pseudoabsences.marine.excludeboxZB.csv,5,0,names match
Thalassiosira punctigera,Thalassiosira punctigera.csv,Thalassiosira punctigera.csv,pseudoabsences.marine.excludeboxPP.csv,184,0,names match
Ensis directus,Ensis directus.csv,Ensis directus.csv,pseudoabsences.marine.excludeboxZB.csv,322,7,Ensis directus /Ensis leei
Leptosiphonia fibrillosa,Leptosiphonia fibrillosa.csv,Leptosiphonia fibrillosa.csv,pseudoabsences.marine.excludeboxPB.csv,10,0,names match
Cephalothrix simula,Cephalothrix simula.csv,Cephalothrix simula.csv,pseudoabsences.marine.excludeboxZB.csv,5,0,names match
Fibrocapsa japonica,Fibrocapsa japonica.csv,Fibrocapsa japonica.csv,pseudoabsences.marine.excludeboxPP.csv,19,0,names match
Torquigener flavimaculosus,Torquigener flavimaculosus.csv,Torquigener flavimaculosus.csv,pseudoabsences.marine.excludeboxZB.csv,1,0,names match
Boccardia proboscidea,Boccardia proboscidea.csv,Boccardia proboscidea.csv,pseudoabsences.marine.excludeboxZB.csv,3,0,names match
Pseudocalanus mimus,Pseudocalanus mimus.csv,Pseudocalanus mimus.csv,pseudoabsences.marine.excludeboxZP.csv,255,0,names match
Pseudocalanus acuspes,Pseudocalanus acuspes.csv,Pseudocalanus acuspes.csv,pseudoabsences.marine.excludeboxZP.csv,1333,0,names match
Paracerceis sculpta,Paracerceis sculpta.csv,Paracerceis sculpta.csv,pseudoabsences.marine.excludeboxZB.csv,6,3,names match
Oithona davisae,Oithona davisae.csv,Oithona davisae.csv,pseudoabsences.marine.excludeboxZP.csv,32,0,names match
Pseudodiaptomus marinus,Pseudodiaptomus marinus.csv,Pseudodiaptomus marinus.csv,pseudoabsences.marine.excludeboxZP.csv,35,0,names match
Polydora websteri,Polydora websteri.csv,Polydora websteri.csv,pseudoabsences.marine.excludeboxZB.csv,2,0,names match
Xenostrobus securis,Xenostrobus securis.csv,Xenostrobus securis.csv,pseudoabsences.marine.excludeboxZB.csv,28,67,names match
Aurelia solida,Aurelia solida.csv,Aurelia solida.csv,pseudoabsences.marine.excludeboxZP.csv,1,0,names match
Evadne anonyx,Evadne anonyx.csv,Evadne anonyx.csv,pseudoabsences.marine.excludeboxZP.csv,48,0,names match
Parathalestris harpactoides,Parathalestris harpactoides.csv,Parathalestris harpactoides.csv,pseudoabsences.marine.excludeboxZP.csv,6,35,names match
Stylochus ellipticus,Stylochus ellipticus.csv,Stylochus ellipticus.csv,pseudoabsences.marine.excludeboxZB.csv,1,0,names match
Marenzelleria neglecta,Marenzelleria neglecta.csv,Marenzelleria neglecta.csv,pseudoabsences.marine.excludeboxZB.csv,40,0,names match
Marenzelleria arctia,Marenzelleria arctia.csv,Marenzelleria arctia.csv,pseudoabsences.marine.excludeboxZB.csv,1,0,names match
Aporrectodea caliginosa,Aporrectodea caliginosa.csv,Aporrectodea caliginosa.csv,pseudoabsences.marine.excludeboxZB.csv,8,0,Aporrectodea trapezoides
Polycerella emertoni,Polycerella emertoni.csv,Polycerella emertoni.csv,pseudoabsences.marine.excludeboxZB.csv,2,0,names match
