"";"Species";"npos";"nabs";"npos.unique";"nabs.unique";"npos.unique.complete";"nabs.unique.complete"
"stats.temp.54";"Streblospio benedicti";"383";"1000";"244";"198";"244";"198"
"stats.temp.55";"Haminella solitaria";"5";"1000";"5";"198";"5";"198"
"stats.temp.56";"Sinelobus vanhaareni";"5";"1000";"5";"198";"5";"198"
"stats.temp.57";"Thalassiosira punctigera";"184";"1000";"13";"127";"13";"127"
"stats.temp.58";"Ensis directus";"322";"1007";"227";"205";"227";"205"
"stats.temp.59";"Leptosiphonia fibrillosa";"10";"1000";"8";"747";"8";"747"
"stats.temp.60";"Cephalothrix simula";"5";"1000";"2";"198";"2";"198"
"stats.temp.61";"Fibrocapsa japonica";"19";"1000";"16";"127";"14";"127"
"stats.temp.62";"Torquigener flavimaculosus";"1";"1000";"1";"198";"1";"198"
"stats.temp.63";"Boccardia proboscidea";"3";"1000";"3";"198";"3";"198"
"stats.temp.64";"Pseudocalanus mimus";"255";"1000";"143";"526";"143";"522"
"stats.temp.65";"Pseudocalanus acuspes";"1333";"1000";"291";"526";"287";"522"
"stats.temp.66";"Paracerceis sculpta";"6";"1003";"4";"200";"4";"200"
"stats.temp.67";"Oithona davisae";"32";"1000";"20";"526";"20";"522"
"stats.temp.68";"Pseudodiaptomus marinus";"35";"1000";"12";"526";"12";"522"
"stats.temp.69";"Polydora websteri";"2";"1000";"2";"198";"2";"198"
"stats.temp.70";"Xenostrobus securis";"28";"1067";"20";"263";"20";"263"
"stats.temp.71";"Aurelia solida";"1";"1000";"1";"526";"1";"522"
"stats.temp.72";"Evadne anonyx";"48";"1000";"26";"526";"26";"522"
"stats.temp.73";"Parathalestris harpactoides";"6";"1035";"6";"526";"6";"522"
"stats.temp.74";"Stylochus ellipticus";"1";"1000";"1";"198";"1";"198"
"stats.temp.75";"Marenzelleria neglecta";"40";"1000";"15";"198";"15";"198"
"stats.temp.76";"Marenzelleria arctia";"1";"1000";"1";"198";"1";"198"
"stats.temp.77";"Aporrectodea caliginosa";"8";"1000";"6";"198";"6";"198"
"stats.temp.78";"Polycerella emertoni";"2";"1000";"1";"198";"1";"198"
"80";"Potamopyrgus antipodarum";"1620";"1000";"753";"198";"753";"198"
